"arson"|"(n)
- The criminal act of deliberately setting fire to property:
eg: police are treating the fire as ..."

"authority"|"(n)
- A person or organization having political or administrative power and control:
eg: health authorities issued a worldwide alert
- The power or right to give orders, make decisions, and enforce obedience:
eg: he had absolute authority over his subordinates"

"burglary"|"(n)
- Illegal entry of a building with intent to commit a crime, especially theft:
eg: a two-year sentence for burglary"

"consequence"|"(n) Hậu quả
A result or effect, typically one that is unwelcome or unpleasant."

"sequential"|"(adj) Liên tiếp
- Forming or following in a logical order or sequence:
eg: a series of sequential steps"

"convict"|"(n)
- A person found guilty of a criminal offence and serving a sentence of imprisonment:
eg: two escaped convicts kidnapped them at gunpoint"

"criminal"|"(n)
A person who has committed a crime"

"deterrent"|"(n) Cái ngăn chặn
- A thing that discourages or is intended to discourage someone from doing something:
eg: cameras are a major ... to crime
(adj) để ngăn cản"

"evidence"|"(n)
- The available body of facts or information indicating whether a belief or proposition is true or valid:
eg: the study finds little evidence of overt discrimination
(adj) evidential"

"fraud"|"(n) 
- Wrongful or criminal deception intended to result in financial or personal gain:
eg: he was convicted of ..."

"imprisonment"|"(n) sự giam cầm
- The state of being imprisoned; captivity
(v) imprison"

"inequality"|"(n)
- Difference in size, degree, circumstances, etc.; lack of equality:
eg: social inequality"

"intrusion"|"(n)
The action of intruding:
he was furious about this intrusion into his private life
(v) intrude"

"judge"|"(n)
- A public officer appointed to decide cases in a law court:
eg: he is due to appear before a judge and jury on Monday."

"jury"|"(n) Ban bồi thẩm
- A body of people (typically twelve in number) sworn to give a verdict in a legal case on the basis of evidence submitted to them in court:
eg: the ... returned unanimous guilty verdicts"

"kidnapping"|"(n)
An act of abducting someone and holding them captive:
the recent kidnapping of a Dutch industrialist"

"lawyer"|"(n)
A person who practises or studies law"

"murder"|"(n) Tội giết người
- The unlawful premeditated killing of one human being by another:
eg: the brutal murder of a German holidaymaker"

"offence"|"(n) 
A breach of a law or rule; an illegal act"

"prosecutor"|"(n) Người khởi tố, bên nguyên
- A person, especially a public official, who institutes legal proceedings against someone:
eg: prosecutors are fully entitled to bring any number of offences against a single defendant"

"punishment"|"(n)
- The infliction or imposition of a penalty as retribution for an offence:
eg: crime demands just punishment
(v) punish"

"recklessness"|"(n) Tính thiếu thận trọng"

"swearing"|"(n)
- The use of offensive language:
eg: there's a lot of swearing in the show"

"smuggling"|"(n) Sự buôn lậu
(v) smuggle- Move (goods) illegally into or out of a country:
eg: he's been smuggling cigarettes from Gibraltar into Spain"

"accused"|"(n) Bị cáo
A person or group of people who are charged with or on trial for a crime:
the accused was ordered to stand trial on a number of charges
(v) accuse buộc tội, kết tội."

"vandalism"|"(n)
- Action involving deliberate destruction of or damage to public or private property:
eg: an act of mindless ..."

"violation"|"(n)
- The action of violating someone or something:
eg: the aircraft were in violation of UN resolutions
(v) violate: vi phạm, xâm phạm"

"criminal"|"(adj)
- Relating to crime:
eg: he is charged with conspiracy to commit ... damage"

"evil"|"(adj) xấu, ác, có hại"

"guilty"|"(adj) Có tội >< innocent vô tội
- Culpable of or responsible for a specified wrongdoing
- I still feel guilty about it"

"innocent"|"(adj) vô tội"

"harsh"|"(adj) khe khắt (luật); chát(vị); lỗ mãng
- Grating , unpleasantly rough, jarring to the senses, not melodious, impolite,"

"tough"|"(adj) hóc búa (vấn đề); cứng rắn
eg: Our existing laws are not tough enough to against crime."

"intensional"|"(adj) 
- Done on purpose; deliberate"

"law"|"abiding - (adj)
- Obedient to the laws of society:
eg: a ... citizen"

"non"|"violent - (adj) Using peaceful means rather than force
violent: (adj) dữ dội, hung tợn, quá khích, quá đáng"

"non"|"violent - (adj) >< violent
- violent: Involving an unlawful exercise or exhibition of force."

"offensive"|"(adj) xúc phạm, làm nhục
Causing someone to feel resentful, upset, or annoyed:
the allegations made are deeply offensive to us"

"on trial"|"(adj) liên quan sự xử án
- Being tried in a court of law:
eg: two men have gone on trial for the murder"

"petty"|"(adj)
Of little importance; trivial:"

"administrative"|"(adj) thuộc chính quyền, thuộc hành chính"

"punishable"|"(adj) Có thể bị trừng phạt"

"strict"|"(adj) 
- chính xác: a strict interpretation of the law
- Nghiêm khắc: my father was very strict
- Hoàn toàn:"

"conscious"|"(adj) tỉnh táo, có ý thức"

"elusive"|"(adj) difficult to define, khó nắm
eg: remain elusive -> vẫn khó để mà hiểu."

"abide"|"(v)
- Accept or act in accordance with (a rule, decision, or recommendation); obey.
eg: I said I would abide by their decision"

"abolish"|"(v) bãi bỏ
- Formally put an end to (a system, practice, or institution):
eg: the tax was abolished in 1977"

"combat"|"(v) fight, battle against,chiến đấu, chống lại
- Take action to reduce or prevent (something bad or undesirable):
eg: The charity is working to combat poverty, reduce isolation, defeat ageism and to promote quality in care."

"deter"|"(v) dissuade; prevent, stop Ngăn cản
- Discourage (someone) from doing something by instilling doubt or fear of the consequences:
eg: only a health problem would deter him from seeking re-election.
- Prevent the occurrence of:
eg: They think not only about how to deter war, but about how war might occur."

"enforce"|"(v) Bắt tuân theo, đem thi hành (luật lệ).
- Compel observance of or compliance with (a law, rule, or obligation.
eg: the role of the police is to enforce the law
(n) enforcement
(adj) enforceable: có thể đem thi hành - able to be imposed so that it must be complied with."

"imprison"|"(v) put in prison"

"monitor"|"(v) Observe, keep under surveillance"

"obey"|"(v) submit to, defer to; take/accept orders from"

"offend"|"(v) hurt someone's feelings, break the law, commit a crime
- Cause to feel upset, annoyed, or resentful
eg: 17 per cent of viewers said they had been offended by bad language"

"perpetrate"|"(v) commit, carry out, perform, execute gây ra
- Carry out or commit (a harmful, illegal, or immoral action):
eg: a crime has been perpetrated against a sovereign state
eg: perpetrate crime
(n) perpetration"

"commit"|"(v) Perpetrate or carry out (a mistake, crime, or immoral act)"

"resent"|"(v) begrudge, feel aggrieved at/about, phật ý, oán giận
- Feel bitterness or indignation at (a circumstance, action, or person):
eg: 1. she resented the fact that I had children
 2. If you're always late on completing things, people stop relying on you, start resenting you and begin to bypass you."

"violate"|"(v) contravene, breach, commit a breach of; invade, intrude on.
- Break or fail to comply with (a rule or formal agreement):
they violated the terms of a cease-fire.
(n) violator người ..."

"convict"|"(v) kết án
- phrase: convict a criminal"

"impose"|"(v) Force (an unwelcome decision or ruling) on someone
- phrase: impose a fine (bắt vạ, bắt nộp tiền phạt)"

"pass a law"|"(v) Thông qua điều luật"

"lay the blame on"|"(phrase) quy lỗi cho ai
eg: lay the all blame for criminal activity on the media."
