"demographic"|"(n) ...s = population
- A particular sector of a population:
eg: the drink is popular with a young demographic"

"globalization"|"(n) toàn cầu hóa"

"hindsight"|"(n) 
- Understanding of a situation or event only after it has happened or developed:
eg: with ..., I should never have gone"

"implication"|"(n) sự dính líu; ẩn ý; hậu quả"

"joint venture"|"(n) sự đầu cơ chung giữa hai hoặc nhiều bên."

"monopoly"|"(n) độc quyền
- the state's ... of radio and television broadcasting"

"modernization"|"(n) sự hiện đại hóa"

"percentage"|"(n) tỷ lệ phần trăm"

"proportion"|"(n) phần, tỷ lệ"

"statistic"|"(n) sự thống kê"

"ageing"|"(adj) già hóa 
- growing old; elderly"

"elderly"|"(adj) sắp già"

"ethnic"|"(adj) không theo tôn giáo nào, vô thần
(n) ethnicity"

"exotic"|"(adj) kỳ lạ, kỳ cục, đẹp kỳ lạ, ngoại lai
- Originating in or characteristic of a distant foreign country:
eg: they loved to visit exotic places
- Attractive or striking because colourful or out of the ordinary."

"multicultural"|"(adj) đa văn hóa"

"productive"|"(adj) sản xuất nhiều
- Producing or able to produce large amounts of goods, crops, or other commodities:
eg: the most productive employees"

"sceptical"|"(adj) hòa nghi, đa nghi"

"subsequent"|"(adj) đến sau, theo sau; tương lai = in the future
- Coming after something in time; following
eg: the theory was developed subsequent to the earthquake of 1906"

"wealthy"|"(adj) giàu có, phong phú"

"worldwide"|"(adj) toàn cầu"

"astounding"|"(adj) làm sửng sốt, làm kinh ngạc
eg: the past 40 years have seen ... developments."

"profound"|"(adj) sâu sắc, thăm thẳm; uyên thâm (kiến thức).
- very great or intense; very deep"

"ridiculous"|"(adj) buồn cười, tức cười, lố bịch"

"decline"|"(v) từ chối"

"diminish"|"(v) bớt, giảm bớt, hạ bớt, thu nhỏ."

"dominate"|"(v) chiếm ưu thế, trội hơn"

"merge"|"(v) hòa hợp, kết hợp."

"migrate"|"(v) di trú, chuyển trường."

"firmly"|"(adj) vững chắc, kiên quyết"

"take into account"|"(pharase) để ý đến, cứu xét đến (vấn đề nào đó quan trọng)
- To make accurate predictions we need to take into account the effect people have on their environment."
