"automatic pilot"|"(n) Lái tự động
- A device for keeping an aircraft on a set course without the intervention of the pilot."

"computerization"|"(n) điện toán hóa"

"gadget"|"(n) freezer, video monitor, dishwasher, washing machine,..
- A small mechanical or electronic device or tool, especially an ingenious or novel one."

"prototype"|"(n) vật đầu tiên, mẫu đầu tiên (của sản phẩm)
- A first or preliminary version of a device or vehicle from which other forms are developed"

"blender"|"(n) máy trộn"

"dishwasher"|"(n) máy rửa bát"

"Washing machine"|"(n) Máy giặt"

"telecommunication"|"(n) viễn thông, thông tin từ xa"

"compact"|"(adj) kết, đặc, chật ních.
- Closely and neatly packed together; dense
(n) sự thỏa thuận, hiệp ước
eg: I prefer the Smart Phone because it's compact."

"cyber-"|"(adj) liên quan đến mạng thông tin, đặc biệt là internet
Cybercafe
Cybernetics"

"tricky"|"(adj) phức tạp, rắc rối
eg: I have to say that the size of Smart Phone does make it tricky to operate."

"cutting edge"|"(adj) tiên phong, mũi nhọn"

"dated"|"(adj) lỗi thời, cũ kỹ"

"portable"|"(adj) có thể mang theo, xách tay
- Able to be easily carried or moved, especially because being of a lighter and smaller version than usual"

"state-of-the-art"|"(adj) hiện đại nhất, mới nhất, cập nhật nhất
- modern, ultra-modern, futuristic, avant-garde, the latest, new, the newest"

"up-to-date"|"(adj) Cập nhật; có những thông tin mới nhất, bao gồm những thông tin mới nhất; hợp thời thượng, hợp mốt, thuộc kiểu mới nhất"

"User-friendly"|"(adj) thân thiện với người dùng
- (Of a machine or system) easy to use and understand‎"

"virtual"|"(adj) ảo (vật lý)"

"envisage"|"(v) dự tính, vạch ra kế hoạch
- Contemplate or conceive of as a possibility or a desirable future event"

"revolutionize"|"(v) cách mạng hóa"

"speculate"|"(v) suy đoán, dự đoán"

"surpass"|"(v) vượt trội
- Exceed; be greater than"

"blend"|"(v) trộn lẫn, pha trộn
eg: ... up food so I can make my own healthy drink."

"Bulky"|"(adj) đồ sộ, kềnh càng
Eg: I find the Optima a bit bulky"
