"media"|"(n)
The main means of mass communication (broadcasting, publishing, and the Internet) regarded collectively:
their demands were publicized by the media"

"bias"|"(noun)
 Inclination or prejudice for or against one person or group, especially in a way considered to be unfair
eg: there was evidence of bias against black applicants
eg: the bias towards younger people in recruitment"

"censorship"|"(noun) Quyền, công tác kiểm duyệt
The suppression or prohibition of any parts of books, films, news, etc. that are considered obscene, politically unacceptable, or a threat to security
eg: we have strict ... laws"

"affair"|"(noun)
a situation or subject that is being dealt with or considered; a matter:
- The meeting was addressed by an expert in South American affairs."

"editor"|"(n)
A person who is in charge of and determines the final content of a newspaper, magazine, or multi-author book"

"exposé"|"(noun)
A report in the media that reveals something discreditable:
eg: a shocking exposé of a medical cover-up"

"exposure"|"(noun)
The state of having no protection from something harmful
- A federal court jury found the workers had been harmed by prolonged ... to asbestos fibers."

"fame"|"(noun)
the state of being known for having or doing something important:
- She came to the city seeking fortune and fame."

"free press"|"If a country has a free press, its newspapers, magazines and television and radio stations are able to express any opinions they want, even if these criticize the government and other organisations
- How can there be democratic elections without a free press?"

"ideology"|"(noun)
a theory or set of beliefs, esp. one on which a political system, party, or organization is based"

"journalism"|"(noun)
The activity or profession of writing for newspapers, magazines, or news websites or preparing news to be broadcast:
- she had begun a career in journalism"

"newsstand"|"(noun)
a small structure where newspapers and magazines are sold"

"publicity"|"- Notice or attention given to someone or something by the media:
eg: the case attracted wide publicity in the press
- The giving out of information about a product, person, or company for advertising or promotional purposes:
 eg: a publicity campaign"

"speculation"|"(noun)
- guess: a message expressing an opinion based on incomplete evidence.
- Investment in stocks, property"

"Safeguard"|"(n)
A measure taken to protect someone or something or to prevent something undesirable:
eg: the charity called for tougher ...s to protect Britain's remaining natural forests"

"tabloid"|"(noun)
a type of newspaper that has smaller pages, many pictures, and short reports:
- The ...s often attract readers with sensational headlines."

"celebrity"|"(noun)
- someone who is famous, esp. in the entertainment business:
eg: Hollywood celebrities turned up at Laguna Beach.
- The state of being well known:
eg: his prestige and celebrity grew"

"sensationalism"|"(noun)
when newspapers, television, etc. intentionally present information in a way that is intended to be shocking or exciting
- The newspaper has been accused of sensationalism in its coverage of the murders."

"alternative"|"(adjective)
- different, other, another, second, possible, substitute, replacement;
- available as another possibility or choice:
eg: I have no ... but to ask you to leave."

"artificial"|"(adj)
- Made or produced by human beings rather than occurring naturally, especially as a copy of something natural:
eg: her skin glowed in the artificial light"

"attention"|"grabbing - - Attracting people's notice; striking:
eg: the buildings were sufficiently ... to find their place in international magazines"

"distorted"|"(adj)
Pulled or twisted out of shape; contorted"

"factual"|"(adj)
Concerned with what is actually the case; Actually occurring"

"intrusive"|"(adjective)
- Causing disruption or annoyance through being unwelcome or uninvited:
eg: that was an intrusive question"

"investigative"|"(adjective) 
intended to examine something carefully, esp. to discover the truth about it:
- an investigative panel"

"mainstream"|"(adjective)
(of beliefs or behavior) common and shared by most people, or representing such beliefs or behavior:
- The story was largely ignored by the mainstream press."

"pervasive"|"(adjective) Lan tràn xâm nhập khắp nơi
(esp. of an unwelcome influence or physical effect) Spreading widely throughout an area or a group of people."

"realistic"|"(adj)
- Having or showing a sensible and practical idea of what can be achieved or expected:
I thought we had a realistic chance of winning
- Representing things in a way that is accurate and true to life:
a realistic human drama"

"superficial"|"(adjective)
on the surface only; not deep:
- a superficial wound"

"well"|"informed - (adjective)
having a lot of knowledge:
- Marilyn is well-informed about the stock market."

"glamorous"|"(adj) especially attractive and exciting, and different from ordinary things or people"

"exploit"|"(verb) Khai thác, lợi dụng
- Make full use of and derive benefit from (a resource):
eg: 500 companies sprang up to ... this new technology.
- Benefit unfairly from the work of (someone), typically by overworking or underpaying them:
eg: women are ...ed in the workplace"

"intrude"|"(verb) Xâm phạm
to go into a place or be involved in a situation where you are unwelcome or uninvited:
- Sorry to intrude, but I wanted to insure that this got to your attention.
- he had no right to intrude into their lives"

"invade"|"(verb)
to enter a place by force, often in large numbers:
- The Allies were poised to invade Germany."

"censor"|"(verb)
Examine (a book, film, etc.) officially and suppress unacceptable parts of it:
- the letters she received were censored."

"publicize"|"(verb)
- Make (something) widely known:
- Luna has helped ... the problem of homelessness."

"grab"|"(verb)
to take or take hold of something or someone suddenly:
- I ...bed the rope and pulled myself out of the water."

"safeguard"|"(verb)
to protect someone or something from harm or destruction:
- Judges have an obligation to safeguard our right to free speech and a free press."

"verify"|"(verb)
- Make sure or demonstrate that (something) is true, accurate, or justified:
his conclusions have been verified by later experiments"
