"allergy"|"(n) dị ứng
- If you have a food allergy, make sure you avoid any of the ingredients that can trigger a attack."

"anxiety"|"(n) mối lo âu, sự lo lắng"

"appetite"|"(n) sự ngon miệng, sự thèm ăn"

"artery"|"(n) động mạch"

"asset"|"(n) tài sản, vốn quý"

"craving"|"(n) sự thèm muốn"

"depression"|"(n) sự chán nản"

"diagnosis"|"(n) sự chẩn đoán"

"diet"|"(n) đồ ăn thường ngày; chế độ ăn kiêng
eg: I am on a ...: tôi đang ăn kiêng.
(v) bắt ăn kiêng"

"vegetarian"|"(n) người ăn chay
(adj) ăn chay, chay"

"dietician"|"(n) thầy thuốc chuyên khoa ăn uống"

"disease"|"(n) bệnh tật"

"disorder"|"(n) sự khó ở, sự rối loạn"

"infection"|"(n) sự làm nhiễm độc, sự tiêm nhiễm, bệnh lây nhiễm."

"insomnia"|"(n) chứng mất ngủ"

"intake"|"(n) lượng đi vào cơ thể
- An amount of food, air, or another substance taken into the body:
eg: They should keep your intake of alcohol to a minimum."

"junk food"|"(n) đồ ăn không tốt cho sức khỏe"

"nutrient"|"(n) chất dinh dưỡng"

"nutrition"|"(n) sự dinh dưỡng"

"obesity"|"(n) sự béo phì"

"onset"|"(n) sự bắt đầu
- The beginning of something, especially something unpleasant:
the onset of winter."

"risk"|"(n) sự mạo hiểm
eg: Don't take a ..."

"stroke"|"(n) sự đột quỵ 
eg: he was left disabled by a stroke
Ông ấy bị tàn tật cánh tay trái bởi một lần đột quỵ."

"treatment"|"(n) sự điều trị, phép điều trị"

"therapy"|"(n) phương pháp chữa bệnh
- Treatment intended to relieve or heal a disorder"

"acute"|"(n) cấp tính
- acute disease : Bệnh cấp tính"

"allergic"|"(adj) dị ứng"

"brisk"|"(adj) nhanh nhảu
- Active and energetic:
eg: a good brisk walk"

"chronic"|"(adj) thường xuyên; kinh niên (y học)"

"infectious"|"(adj) dễ lây nhiễm"

"moderate"|"(adj) vừa phải, ôn hòa
- we walked at a moderate pace
- a moderate reform programme"

"obese"|"(adj) béo phì; overweight"

"persistent"|"(adj) kiên trì, bền bỉ, ngoan cố, dai dẳng"

"apt"|"(adj) có năng khiếu, có khả năng"

"counteract"|"(v) chống lại, trung hòa, làm mất tác dụng
- Act against (something) in order to reduce its force or neutralize it:
eg: should we deliberately intervene in the climate system to counteract global warming?"

"curb"|"(v) kiềm chế, hạn chế, nén lại
eg: There should also be strict curbs on extravaganzas using power."

"disrupt"|"(v) đập gãy, đập vỡ, phá vỡ
- Interrupt (an event, activity, or process) by causing a disturbance or problem:
eg: flooding disrupted rail services"

"eliminate"|"(v) khử, loại ra, loại trừ"

"overdo"|"(v) làm quá trớn = exaggerate"

"exaggerate"|"(v) nói quá, cường điệu, phóng đại = overstate
- Represent (something) as being larger, better, or worse than it really is."

"overeat"|"(v) ăn nhiều quá"

"stimulate"|"(v) kích thích khuyến khích; Encourage"

"trigger"|"(v) activate: gây nên
- - If you have a food allergy, make sure you avoid any of the ingredients that can trigger a attack."
