"controversy"|"(n) sự tranh luận, sự tranh cãi"

"curriculum"|"(n) chương trình giảng dạy"

"dissertation"|"(n) sự nghị luận, bài nghị luận."

"grant"|"(n) Sự trợ cấp
eg: A sum of money given by a government or other organization for a particular purpose"

"junior school"|"(n) 
- A school for young or younger children, in particular (in England and Wales) a school for children aged between 7 and 11."

"kinder garten"|"(n) trẻ mẫu giáo"

"nursery"|"(n) nhà trẻ"

"primary school"|"(n) trường tiểu học"

"secondary school"|"(n) trường cấp 2"

"scope"|"(n) phạm vi, tầm xa (kiến thức)"

"source"|"(n) nguồn, nguồn gốc."

"resource"|"(n) tài nguyên"

"syllabus"|"(n) đề cương bài giảng, kế hoạch học tập."

"theory"|"(n) học thuyết, lý thuyết, lý luận."

"eligible"|"(adj) đủ tư cách"

"Post graduate"|"(adj) sau đại học"

"relevant"|"(adj) thích đáng, xác đáng"

"senior"|"(adj) sinh viên năm cuối; người thâm niên hơn."

"studious"|"(adj) chăm học;"

"adopt"|"(v) nhận làm con nuôi; chấp nhận và thực hiện"

"find out"|"(v)
- find something out
- find out about something"

"overcome"|"(v) chiến thắng, vượt qua"

"revise"|"(v) đọc lại, xem lại, duyệt lại, xét lại."

"struggle"|"(v) gắng sức, đấu tranh, vật lộn."

"relatively"|"(adv) tương đối
eg: relatively speaking -> nói một cách tương đối, nói một cách đại khái."
