"advertisement"|"(n)
- A notice or announcement in a public medium promoting a product, service, or event or publicizing a job vacancy"

"advertising"|"(n)
- The activity or profession of producing advertisements for commercial products or services:
- her father was in ..."

"campaign"|"(n)
An organized course of action to achieve a goal:
an election campaign."

"client"|"(n)
- A person or organization using the services of a lawyer or other professional person or company"

"colleague"|"(n) Đồng nghiệp
A person with whom one works in a profession or business"

"credibility"|"(n)
The quality of being trusted and believed in:
the government's loss of credibility"

"satisfaction"|"(n)
- Fulfilment of one's wishes, expectations, or needs, or the pleasure derived from this:
eg: I looked round with ..."

"labourer"|"(n) workman, worker
A person doing unskilled manual work for wages"

"niche"|"(n) ideal position
A comfortable or suitable position in life or employment"

"Job"|"(n) a particular thing you do to earn money
eg: I'm hoping to find a ... during the holiday."

"work"|"(n) something you do to earn money
eg: I am hoping to find work during the holidays. (Not a work)"

"occupation"|"(n) an formal word for "job"
- A job or profession
eg: Due to his father's ..., he grew up knowing about military matters.
- A way of spending time:
eg: a game of cards is a pretty harmless ...
- The action, state, or period of occupying or being occupied by military force:
eg: the Roman ... of Britain"

"profession"|"(n) a type of job that requires specialist knowledge:
eg: He works in the medical profession."

"packaging"|"(n) wrapping, wrappers, packing, cover, covering
- Materials used to wrap or protect goods."

"peck"|"(n) 
- A stroke or bite by a bird with its beak
- A light or perfunctory kiss
(v) strike or bite something with its beak"

"Perk"|"(n)
- A benefit to which one is entitled because of one's job:
eg: many agencies are helping to keep personnel at their jobs by providing perks"

"prospect"|"(n)
- The possibility or likelihood of some future event occurring:
eg: there was no ... of a reconciliation"

"qualification"|"(n) Trình độ chuyên môn"

"retirement"|"(n) stopping working
- The action or fact of leaving one's job and ceasing to work
(v) retire
- he retired from the Navy in 1986"

"shares"|"(n) cổ phần"

"shift work"|"(n) 
- Work comprising recurring periods in which different groups of workers do the same jobs in relay.
eg: If he works a six-day week including shift work and overtime, this brings his total salary up to £20,000."

"takeover"|"(n) gaining of control, change of ownership, purchase
- An act of assuming control of something, especially the buying out of one company by another:
eg: they sought a controlling interest rather than a takeover"

"Trade"|"(n) commerce, buying and selling
- The action of buying and selling goods and services"

"workforce"|"(n) employees,human resources, Lực lượng lao động
- The people engaged in or available for work, either in a country or area or in a particular firm or industry:
eg: Pressure will grow to upgrade industries and workforce."

"workplace"|"(n)
- A place where people work, such as an office or factory"

"earnings"|"(n) tiền kiếm được
- Money obtained in return for labour or services
eg: My earnings increased 10 percent last year."

"casual"|"(adj)
- Not regular or permanent
eg: a casual worker"

"wage"|"(n) Tiền công
- A fixed regular payment earned for work or services, typically paid on a daily or weekly basis:
eg: we were struggling to get better wages."

"demanding"|"(adj) 
- requiring much skill or effort:
she has a busy and demanding job"

"economic"|"(adj) liên quan kinh tế, có lợi (việc kinh doanh)
- Relating to economics or the economy
eg: the government's economic policy"

"economical"|"(adj) kinh tế, tiết kiệm
he was ... in all areas of life"

"exhausting"|"(adj)
- Making one feel very tired; very tiring:
eg: a long and ... journey."

"hospitality"|"(adj) lòng mến khách
- The friendly and generous reception and entertainment of guests, visitors, or strangers:
eg: Scotland is renowned for its hospitality"

"monotonous"|"(adj) tedious, boring, dull, uninteresting.
- Dull, tedious, and repetitious; lacking in variety and interest."

"retail"|"(adj) bán lẻ"

"redundant"|"(adj) 
- No longer in employment because there is no more work available
eg: eight permanent staff were made redundant.
 Make someone redundant.
- Not or no longer needed or useful
eg: I think they're going to make me redundant next month."

"rewarding"|"(adj) satisfying, gratifying
- Providing satisfaction; gratifying:
eg: skiing can be hugely ..."

"unemployed"|"(adj)
- (Of a person) without a paid job but available to work:
eg: I was unemployed for three months"

"unskilled"|"(adj) untrained, unqualified
- Not having or requiring special skill or training:
eg: unskilled manual workers"

"manual"|"(n) bằng chân tay
- Manual work: công việc chân tay."

"compete"|"(v)
- Strive to gain or win something by defeating or establishing superiority over others:
eg: I have to compete against some very good candidate to get the job.
(adj) competitive
(n) competition"

"endorse"|"(v) xác nhận
- Declare one's public approval or support of:
eg: the report was endorsed by the college."

"persuade"|"(v) thuyết phục
- Induce (someone) to do something through reasoning or argument:
eg: it wasn't easy, but I persuaded him to do the right thing"
