"burrow"|"(n) hang
- A hole or tunnel dug by a small animal, especially a rabbit, as a dwelling"

"barrier"|"(n) hàng rào"

"den"|"(n) hang (thú dữ)
- A wild mammal's hidden home; a lair:
eg: a female mink had set up her den there"

"mammal"|"(n) động vật có vú"

"reptile"|"(n) loài bò sát"

"ecological balance"|"(n) cân bằng sinh học"

"ecology"|"(n) sinh thái học"

"extinction"|"(n) sự tuyệt chủng"

"fauna"|"(n) hệ động vật
- The animals of a particular region, habitat, or geological period:
eg: the flora and fauna of Siberia.
flora: hệ thực vật"

"genetics"|"(n) di truyền học"

"habitat"|"(n) môi trường sống cho động thực vật"

"insect"|"(n) côn trùng, sâu bọ"

"pest"|"(n) người làm hại, vật làm hại
- A destructive insect or other animal that attacks crops, food, livestock, etc"

"pesticide"|"(n) thuốc trừ sâu"

"predator"|"(n) thú ăn thịt"

"prey"|"(n) con mồi, nạn nhân"

"repercussion"|"(n) âm vang, tiếng vọng"

"scent"|"(n) mùi hơi của thú vật"

"species"|"(n) loài"

"soil"|"(n) đất"

"vegetation"|"(n) cây cỏ, thực vật"

"twig"|"(n) cành non"

"coat"|"(n) bộ lông thú"

"hide"|"(n) da sống(chưa thuộc, mới chỉ cạo và rửa)."

"fur"|"(n) bộ da lông thú"

"horn"|"(n) sừng"

"scales"|"(n) vảy"

"beak"|"(n) mỏ (chim,...)"

"paw"|"(n) chân(có vuốt của mèo, hổ,...)"

"claw"|"(n) vuốt (mèo, hổ,...)"

"trunk"|"(n) thân (cây); vòi (voi)"

"vermin"|"(n) sâu, vật hại (chồn, chuột,...)"

"weed"|"(n) cỏ dại"

"petal"|"(n) cánh hoa"

"shrub"|"(n) cây bụi"

"bush"|"(n) bụi rậm"

"thorn"|"(n) gai, bụi gai"

"arid"|"(adj) khô khan, vô vị; khô cằn (đất)."

"catastrophic"|"(adj) thảm họa, thê thảm"

"disastrous"|"(adj) bất hạnh, tai hại, thảm khốc"

"domesticated"|"(adj) được thuần hóa (súc vật)"

"extinct"|"(adj) tuyệt chủng"

"genetically"|"(adj) về mặt di truyền học"

"resistant"|"(adj) có sức chịu đựng, có sức bền"

"tropical"|"(adj) nhiệt đới"

"vulnerable"|"(adj) có thể bị tổn thương, có nhược điểm"

"wild"|"(adj) hoang dã, hoang dại"

"adapt"|"(v) thích nghi"

"combat"|"(v) đánh nhau, chiến đấu
(n) trận chiến"

"cultivate"|"(v) cày cấy, làm đất trồng trọt.
- Prepare and use (land) for crops or gardening
eg: the peasants who cultivated the land became its owners"

"eradicate"|"(v) Nhổ rễ, trừ diệt. 
eg: Destroy completely; put an end to:
this disease has been eradicated from the world"

"evolve"|"(v) tiến hóa"

"hibernate"|"(v) ngủ đông"
