"scenery"|"(n) phong cảnh, cảnh vật"

"community"|"(n) phường, hội, dân chúng (ở một địa phương, quận,...)"

"the community"|"(n) công chúng, xã hội"

"ecotourism"|"(n) du lịch sinh thái"

"itinerary"|"(n) hành trình, nhật ký đi đường, sách hướng dẫn du lịch"

"journey"|"(n) Chuyến đi
- An act of travelling from one place to another:
eg: an eight-hour train journey"

"landscape"|"(n) cảnh đẹp"

"luggage"|"(n) hành lý"

"crystal"|"(n) tinh thể, pha lê"

"skyscape"|"(n) cảnh bầu trời"

"fountain"|"(n) vòi nước, vòi phun nước (công viên)"

"statue"|"(n) tượng"

"skyscraper"|"(n) nhà chọc trời
- A very tall building of many storeys."

"ferry"|"(n) phà, bến phà"

"adventurous"|"(adj) thích phưu lưu, liều lĩnh"

"snorkelling"|"(adj) sự lặn thở bằng ống dẫn khí"

"scuba driving"|"(adj) sự lặn thở bằng bình khí ép"

"deep"|"sea fishing - (adj) câu cá biển sâu
- the activity of catching fish that live in the deep parts of the sea"

"budget"|"(adj) Inexpensive:
eg: a budget guitar"

"breathtaking"|"(adj) hấp dẫn ngoạn mục"

"coastal"|"(adj) thuộc bờ biển, thuộc ven biển
- Of or near a coast"

"calm"|"(adj) êm đềm, lặng gió
eg: the sea can be very calm at times."

"cosmopolitan"|"(adj) thuộc toàn thế giới"

"diverse"|"(adj) gồm nhiều loại khác nhau, linh tinh"

"luxurious"|"(adj) sang trọng, xa hoa, xa xỉ"

"mountainous"|"(adj) có núi, lắm núi, to lớn khổng lồ
eg: struggling under mountainous debts"

"picturesque"|"(adj) đẹp như tranh vẽ, sinh động"

"quaint"|"(adj) đẹp vẻ cổ cổ là lạ
- Attractively unusual or old-fashioned:
eg: quaint country cottages"

"horrendous"|"(adj) kinh khủng, khủng khiếp
- Extremely unpleasant, horrifying, or terrible:
eg: she suffered horrendous injuries.
eg: Driving a car during pick periods can be horrendous."

"remote"|"(adj) xa xôi, xa cách"

"rough"|"(adj) thô"

"rural"|"(adj) thôn dã"

"scenic"|"(adj) điệu, màu mè; vờ vĩnh, có vẻ kịch (tình cảm)"

"crisp"|"(adj) mát, làm sảng khóa, làm khỏe người
eg: the air is very crisp up here."

"stunning"|"(adj) làm choáng váng
- Extremely impressive or attractive:
she looked stunning"

"tough"|"(adj) khó, hắc búa; dai, bền; dai sức; cứng cỏi; cố chấp"

"urban"|"(adj) thuộc thành thị"

"treacherous"|"(adj) bội bạc, xảo trá, không tin được
eg: the roads are pretty ... because they are very steep and winding."

"steep"|"(adj) dốc
eg: the roads are pretty treacherous because they are very ... and winding."

"winding"|"(adj) lượn khúc, khúc quanh
eg: the roads are pretty treacherous because they are very steep and ...."

"fluctuate"|"(v) dao động lên xuống"

"cater"|"(v) + for: phục vụ cho, mua vui cho.
eg: my mother helped to cater for the party"

"at times"|"thi thoảng, đôi khi"

"fantastic theme park"|"công viên giải trí"

"a great deal"|"nhiều
eg: The exchange rate can fluctuate a great deal."
